event_date,state,district,location,latitude,longitude,location_precision,deaths,rainfall_mm,rainfall_period,trigger,is_landslide,data_source,source,source_url
2022-06-30,Manipur,Noney,"Tupul (Makhuam village, railway construction site)",24.804,93.674,town-level,61.0,329.9,"11-day continuous spell (June total 329.9mm, May-June 705.5mm)",Heavy monsoon rainfall / slope excavation,1,real_documented_event,"Wikipedia / EastMojo / AGU Landslide Blog / GSI, Jun-Jul 2022",https://en.wikipedia.org/wiki/2022_Manipur_landslide
2024-05-28,Mizoram,Aizawl,"Melthum-Hlimen (southern outskirts of Aizawl), stone quarry",23.7271,92.7176,town-level,29.0,205.0,24hr (Cyclone Remal single-day pulse),Cyclone Remal,1,real_documented_event,"PTI via The Tribune / Eastern Mirror / ResearchGate, May 2024",https://www.tribuneindia.com/news/india/25-killed-in-landslides-stone-quarry-collapse-in-mizoram-625697
2024-06-13,Sikkim,Mangan,Pakshep and Ambhithang villages,27.5167,88.5333,district-HQ approx,9.0,250.0,13-day cumulative (54% above normal),Heavy monsoon rainfall,1,real_documented_event,"Sphere India Situation Report-1, 14 Jun 2024",https://www.sphereindia.org.in/sites/default/files/2024-06/SI%20Sitrep-1__Sikkim%20Landslide_14-06-2024_1200%20Hrs.pdf
2022-06-14,Assam,Kamrup Metro,"Boragaon/Nijarapar, Guwahati",26.1445,91.7362,town-level,4.0,134.0,24hr (Gauhati Univ station; 48hr continuous spell),Heavy rainfall (IMD Red Alert),1,real_documented_event,"PTI via Deccan Herald / IMD Guwahati, 14 Jun 2022",https://www.deccanherald.com/india/four-deaths-due-to-landslides-in-assam-following-heavy-rains-life-paralysed-in-guwahati-1118032.html
2017-06-18,Meghalaya,Ri-Bhoi,Tharia village,25.9086,91.8794,district-HQ approx,7.0,120.5,"24hr (recorded at Sohra, same spell)",Heavy monsoon rainfall,1,real_documented_event,"IANS via Eastern Mirror, 18 Jun 2017",https://www.easternmirrornagaland.com/toll-rises-to-seven-in-meghalaya-landslide
2020-09-24,Meghalaya,East Khasi Hills,Shillong (Police Reserve / Laban),25.5788,91.8933,town-level,2.0,260.0,24hr (72hr incessant spell across East Khasi Hills),Heavy rainfall (IMD Red Alert),1,real_documented_event,"WorldAware / Shillong Times / Indian Express, Sep 2020",https://www.worldaware.com/fr/product/372756
2024-05-30,Meghalaya,East Khasi Hills,"Nongpriang village, Shella block",25.15,91.85,district-level approx,4.0,634.0,"24hr (recorded at Sohra; 2-day total 815.6mm, Cyclone Remal)",Cyclone Remal,1,real_documented_event,"Deccan Herald / Cherrapunjee Weather Station, May 2024",https://www.deccanherald.com/india/meghalaya/4-feared-dead-after-landslide-in-meghalaya-3045425
2024-10-06,Meghalaya,South Garo Hills,"Hatiasia Songma, Gasuapara",25.2,90.6333,district-HQ approx,10.0,140.0,24hr (recorded at Baghmara station; 3-day continuous spell),Heavy rainfall / flash flood,1,real_documented_event,"PTI via Deccan Herald / IMD, Oct 2024",https://www.deccanherald.com/amp/story/india%2Fmeghalaya%2F10-die-in-flashfloods-triggered-by-heavy-rains-in-meghalaya-3221186
2022-04-02,Meghalaya,East Khasi Hills,"Mawlat village, Mawkynrew block",25.45,91.75,district-level approx,2.0,360.0,24hr (recorded at Sohra; 4-day pre-monsoon spell over 700mm),Heavy pre-monsoon rainfall,1,real_documented_event,"EastMojo / IMD Shillong, 4 Apr 2022",https://eastmojo.com/meghalaya/2022/04/04/meghalaya-two-dead-as-incessant-rains-cause-landslides-damage/
2024-08-21,Tripura,South Tripura,"Devipur & Gardang (Ashwini Tripura Para), Santirbazar",23.2986,91.5036,town-level,10.0,375.8,24hr (recorded at Bagafa station; 3-day cumulative 644.5mm),Incessant monsoon depression rainfall / severe flash floods,1,real_documented_event,"ReliefWeb / SEEDS India / NDTV, Aug 2024",https://reliefweb.int/report/india/tripura-india-floods-and-landslides-update-imd-media-reliefweb-seeds-echo-daily-flash-26-august-2024
